PyTorch APIs,MindSpore APIs,说明
torch.utils.data.SubsetRandomSampler,mindspore.dataset.SubsetRandomSampler,差异对比
torch.utils.data.WeightedRandomSampler,mindspore.dataset.WeightedRandomSampler,差异对比
torch.utils.checkpoint.checkpoint,mindspore.nn.Cell.recompute,差异对比
torchaudio.datasets.CMUARCTIC,mindspore.dataset.CMUArcticDataset,差异对比
torchaudio.datasets.GTZAN,mindspore.dataset.GTZANDataset,差异对比
torchaudio.datasets.LIBRITTS,mindspore.dataset.LibriTTSDataset,差异对比
torchaudio.datasets.LJSPEECH,mindspore.dataset.LJSpeechDataset,差异对比
torchaudio.datasets.SPEECHCOMMANDS,mindspore.dataset.SpeechCommandsDataset,差异对比
torchaudio.datasets.TEDLIUM,mindspore.dataset.TedliumDataset,差异对比
torchaudio.datasets.YESNO,mindspore.dataset.YesNoDataset,差异对比
torchaudio.transforms.AmplitudeToDB,mindspore.dataset.audio.AmplitudeToDB,差异对比
torchaudio.transforms.ComplexNorm,mindspore.dataset.audio.ComplexNorm,一致
torchaudio.transforms.ComputeDeltas,mindspore.dataset.audio.ComputeDeltas,功能一致，参数名不同
torchaudio.transforms.Fade,mindspore.dataset.audio.Fade,一致
torchaudio.transforms.FrequencyMasking,mindspore.dataset.audio.FrequencyMasking,差异对比
torchaudio.transforms.GriffinLim,mindspore.dataset.audio.GriffinLim,差异对比
torchaudio.transforms.InverseMelScale,mindspore.dataset.audio.InverseMelScale,差异对比
torchaudio.transforms.MelScale,mindspore.dataset.audio.MelScale,差异对比
torchaudio.transforms.MelSpectrogram,mindspore.dataset.audio.MelSpectrogram,差异对比
torchaudio.transforms.MFCC,mindspore.dataset.audio.MFCC,一致
torchaudio.transforms.MuLawEncoding,mindspore.dataset.audio.MuLawEncoding,一致
torchaudio.transforms.MuLawDecoding,mindspore.dataset.audio.MuLawDecoding,一致
torchaudio.transforms.Resample,mindspore.dataset.audio.Resample,差异对比
torchaudio.transforms.SlidingWindowCmn,mindspore.dataset.audio.SlidingWindowCmn,一致
torchaudio.transforms.SpectralCentroid,mindspore.dataset.audio.SpectralCentroid,差异对比
torchaudio.transforms.Spectrogram,mindspore.dataset.audio.Spectrogram,差异对比
torchaudio.transforms.TimeMasking,mindspore.dataset.audio.TimeMasking,差异对比
torchaudio.transforms.TimeStretch,mindspore.dataset.audio.TimeStretch,一致
torchaudio.transforms.Vad,mindspore.dataset.audio.Vad,一致
torchaudio.transforms.Vol,mindspore.dataset.audio.Vol,一致
torchtext.data.functional.custom_replace,mindspore.dataset.text.RegexReplace,差异对比
torchtext.data.functional.load_sp_model,mindspore.dataset.text.SentencePieceTokenizer,差异对比
torchtext.data.functional.numericalize_tokens_from_iterator,mindspore.dataset.text.Lookup,差异对比
torchtext.data.functional.sentencepiece_numericalizer,mindspore.dataset.text.SentencePieceTokenizer,差异对比
torchtext.data.functional.sentencepiece_tokenizer,mindspore.dataset.text.SentencePieceTokenizer,差异对比
torchtext.data.functional.simple_space_split,mindspore.dataset.text.WhitespaceTokenizer,差异对比
torchtext.data.utils.ngrams_iterator,mindspore.dataset.text.Ngram,差异对比
torchtext.datasets.AG_NEWS,mindspore.dataset.AGNewsDataset,差异对比
torchtext.datasets.AmazonReviewFull,mindspore.dataset.AmazonReviewDataset,差异对比
